max_private_risk,focal_strategy,opponent_strategy,fixation_probability,stationary_share,above_neutral_drift,sml_eigenvalue_one_multiplicity,node_share_source
0.1,AS,AS,0.0,0.00684249999999993,0,1,finite_mutation_main_reference_chain
0.1,AS,AU,1.0,0.00684249999999993,1,1,finite_mutation_main_reference_chain
0.1,AS,CS,0.009999999999999988,0.00684249999999993,0,1,finite_mutation_main_reference_chain
0.1,AS,CAS,1.0,0.00684249999999993,1,1,finite_mutation_main_reference_chain
0.1,AU,AS,0.0,0.9189225000000047,0,1,finite_mutation_main_reference_chain
0.1,AU,AU,0.0,0.9189225000000047,0,1,finite_mutation_main_reference_chain
0.1,AU,CS,0.0,0.9189225000000047,0,1,finite_mutation_main_reference_chain
0.1,AU,CAS,0.009999999999999998,0.9189225000000047,0,1,finite_mutation_main_reference_chain
0.1,CS,AS,0.009999999999999988,0.0063974999999999345,0,1,finite_mutation_main_reference_chain
0.1,CS,AU,1.0,0.0063974999999999345,1,1,finite_mutation_main_reference_chain
0.1,CS,CS,0.0,0.0063974999999999345,0,1,finite_mutation_main_reference_chain
0.1,CS,CAS,1.0,0.0063974999999999345,1,1,finite_mutation_main_reference_chain
0.1,CAS,AS,0.0,0.06783750000000009,0,1,finite_mutation_main_reference_chain
0.1,CAS,AU,0.009999999999999998,0.06783750000000009,0,1,finite_mutation_main_reference_chain
0.1,CAS,CS,0.0,0.06783750000000009,0,1,finite_mutation_main_reference_chain
0.1,CAS,CAS,0.0,0.06783750000000009,0,1,finite_mutation_main_reference_chain
0.6,AS,AS,0.0,0.006379999999999938,0,1,finite_mutation_main_reference_chain
0.6,AS,AU,0.0,0.006379999999999938,0,1,finite_mutation_main_reference_chain
0.6,AS,CS,0.009999999999999988,0.006379999999999938,0,1,finite_mutation_main_reference_chain
0.6,AS,CAS,1.0,0.006379999999999938,1,1,finite_mutation_main_reference_chain
0.6,AU,AS,0.0,0.02285500000000001,0,1,finite_mutation_main_reference_chain
0.6,AU,AU,0.0,0.02285500000000001,0,1,finite_mutation_main_reference_chain
0.6,AU,CS,0.0,0.02285500000000001,0,1,finite_mutation_main_reference_chain
0.6,AU,CAS,0.009999999999999993,0.02285500000000001,0,1,finite_mutation_main_reference_chain
0.6,CS,AS,0.009999999999999988,0.007899999999999926,0,1,finite_mutation_main_reference_chain
0.6,CS,AU,0.0,0.007899999999999926,0,1,finite_mutation_main_reference_chain
0.6,CS,CS,0.0,0.007899999999999926,0,1,finite_mutation_main_reference_chain
0.6,CS,CAS,0.9973006448929731,0.007899999999999926,1,1,finite_mutation_main_reference_chain
0.6,CAS,AS,0.0,0.9628650000000103,0,1,finite_mutation_main_reference_chain
0.6,CAS,AU,0.009999999999999993,0.9628650000000103,0,1,finite_mutation_main_reference_chain
0.6,CAS,CS,0.0,0.9628650000000103,0,1,finite_mutation_main_reference_chain
0.6,CAS,CAS,0.0,0.9628650000000103,0,1,finite_mutation_main_reference_chain
0.9,AS,AS,0.0,0.048007500000000064,0,1,finite_mutation_main_reference_chain
0.9,AS,AU,0.0,0.048007500000000064,0,1,finite_mutation_main_reference_chain
0.9,AS,CS,0.009999999999999988,0.048007500000000064,0,1,finite_mutation_main_reference_chain
0.9,AS,CAS,1.0,0.048007500000000064,1,1,finite_mutation_main_reference_chain
0.9,AU,AS,0.0010623381250817738,0.0069049999999999286,0,1,finite_mutation_main_reference_chain
0.9,AU,AU,0.0,0.0069049999999999286,0,1,finite_mutation_main_reference_chain
0.9,AU,CS,0.999999996595548,0.0069049999999999286,1,1,finite_mutation_main_reference_chain
0.9,AU,CAS,0.01,0.0069049999999999286,0,1,finite_mutation_main_reference_chain
0.9,CS,AS,0.009999999999999988,0.9385350000000058,0,1,finite_mutation_main_reference_chain
0.9,CS,AU,0.0,0.9385350000000058,0,1,finite_mutation_main_reference_chain
0.9,CS,CS,0.0,0.9385350000000058,0,1,finite_mutation_main_reference_chain
0.9,CS,CAS,0.0,0.9385350000000058,0,1,finite_mutation_main_reference_chain
0.9,CAS,AS,0.0,0.006552499999999937,0,1,finite_mutation_main_reference_chain
0.9,CAS,AU,0.01,0.006552499999999937,0,1,finite_mutation_main_reference_chain
0.9,CAS,CS,0.9999999999999313,0.006552499999999937,1,1,finite_mutation_main_reference_chain
0.9,CAS,CAS,0.0,0.006552499999999937,0,1,finite_mutation_main_reference_chain
